Open,High,Low,Close,Volume,Dividends,Stock Splits
5.3987417304291,5.4271033879540544,5.368388948640748,5.39227294921875,141556000,0.0,0.0
5.389280064717117,5.402724845730853,4.988681911185508,5.282470226287842,1527812000,0.0,0.0
5.259565602075935,5.700995830925494,5.250851566879408,5.576757907867432,1561116000,0.0,0.0
5.624310419952492,5.9850728102347714,5.5961762028249495,5.959677696228027,2034124000,0.0,0.0
5.988310456117651,6.0204279644851875,5.871043773931742,5.897435188293457,931420000,0.0,0.0
5.875525103140251,5.973122277105601,5.729626540718607,5.877516746520996,931980000,0.0,0.0
5.784151266308497,6.18823497350848,5.758009168081334,6.082919120788574,1426008000,0.0,0.0
6.166077491962981,6.298780119618796,6.0881483849608795,6.206410884857178,1480016000,0.0,0.0
6.169811627604859,6.460861771368163,6.138938780392801,6.236287593841553,1075184000,0.0,0.0
5.931543993329506,6.2061618991979195,5.781910974800015,5.88647985458374,1701284000,0.0,0.0
5.868304178796347,6.330149817587813,5.862079937481582,6.263923168182373,1143364000,0.0,0.0
6.286579986812645,7.34397022733772,6.281600403545152,7.215002059936523,3112748000,0.0,0.0
7.111678028175269,7.875528835577815,7.092258317760253,7.321562767028809,2892728000,0.0,0.0
6.727014145169197,7.017815458582196,6.019929907982554,6.724026679992676,4699812000,0.004,0.0
6.898199197395284,7.097247936246891,6.4273575513655015,6.627652168273926,3196684000,0.0,0.0
5.976445678855549,6.504086873143593,5.376060797174605,5.999863147735596,3146148000,0.0,0.0
5.2916084476414165,5.737786735612126,4.50114350235069,5.125693321228027,4005020000,0.0,0.0
5.1246966627558495,6.554908638330179,4.945577691883883,6.296070575714111,3873888000,0.0,0.0
6.361587772004458,6.860829334306701,5.938827519209298,6.076343059539795,3548100000,0.0,0.0
6.3585996755918215,6.931830420822923,6.301052181474525,6.550673007965088,2580412000,0.0,0.0
6.490883929542373,7.448759345387076,6.4024455953759,7.282345771789551,2580244000,0.0,0.0
7.155792001096216,7.3117424855947455,6.65430849164517,7.2143354415893555,2444392000,0.0,0.0
7.348861090436341,7.578302680391238,6.996352701087141,7.044682502746582,2019464000,0.0,0.0
6.997348262080981,7.791301243926108,6.997348262080981,7.785073280334473,1722864000,0.0,0.0
7.780090493581904,8.470657454142442,7.568087425979498,8.460942268371582,3177944000,0.0,0.0
8.72974609042507,9.061079300446666,8.650027007626544,8.994563102722168,3879148000,0.0,0.0
9.124604901983856,9.149517709533797,7.968677240806903,8.844342231750488,3426824000,0.0,0.0
8.802240687873617,8.965415535063393,8.627605854415256,8.888686180114746,2052664000,0.004,0.0
8.850124381265715,9.470971786934262,8.659209817960216,8.905205726623535,2642964000,0.0,0.0
8.788312076223772,9.416136937954509,8.717029795605605,9.232948303222656,2122592000,0.0,0.0
9.271583965625359,9.613037187917792,9.097118489375672,9.127026557922363,2191104000,0.0,0.0
9.141730148803319,9.707745248651365,8.872803832342305,9.582878112792969,1400844000,0.0,0.0
9.711981825819791,10.622690269698483,9.68282106074818,10.44722843170166,2031396000,0.0,0.0
10.56262509457671,10.759271771522393,9.755597993875826,10.170327186584473,2014984000,0.0,0.0
10.242854563284343,10.570101447201932,9.747124426989025,10.163348197937012,1814132000,0.0,0.0
10.200984517403251,10.733602320014862,10.178055032064776,10.582315444946289,1543236000,0.0,0.0
10.699703583576053,11.469593908404436,10.682506235468649,11.165276527404785,1559812000,0.0,0.0
11.299616009319127,11.685931722708764,10.762760738003253,11.528663635253906,1987616000,0.0,0.0
11.815033719676592,12.769608172700243,11.781138174777977,12.64474105834961,3668628000,0.0,0.0
12.844380291174105,13.107822608366407,12.4692797553299,13.107573509216309,1955648000,0.0,0.0
13.142468393873655,14.68175115428028,11.66898489869305,12.583930969238281,4294980000,0.004,0.0
11.702142069644614,13.029222993109505,11.67197588720613,12.130956649780273,2867540000,0.0,0.0
13.044930069819648,13.278284079936672,11.955692028423949,12.155638694763184,3976656000,0.0,0.0
11.892117693554516,12.847974594032577,11.871674038516332,12.838251113891602,3333764000,0.0,0.0
13.00429306955346,13.724800719704843,12.71484357032706,13.026232719421387,2961952000,0.0,0.0
13.199503881488845,14.103005866541693,13.186290066286558,13.724801063537598,2408116000,0.0,0.0
13.950924228626079,14.308934497434127,13.729785441933453,13.773414611816406,1565064000,0.0,0.0
13.86466382463695,13.944941504407447,13.195264383217404,13.552776336669922,1270840000,0.0,0.0
13.389976538119205,13.65499369261812,12.266084263894005,12.499439239501953,1700836000,0.0,0.0
12.622846608556914,14.548521666889892,12.360821464174016,14.521845817565918,1685156000,0.0,0.0
14.512372910544144,14.65098957300953,12.593429160729508,13.260334968566895,2343912000,0.0,0.0
13.136177020637946,13.61186194825314,13.028973371464684,13.051661491394043,2143752000,0.0,0.0
13.134930826716406,13.370529294956683,12.849470042484391,13.224681854248047,1135048000,0.0,0.0
13.228423019654361,13.635796327566048,12.936479899998014,13.520864486694336,1269024000,0.004,0.0
13.567750390829383,13.697430320474734,12.791417446495997,12.981199264526367,1313492000,0.0,0.0
13.055766278133424,13.430839691735947,13.038309454432538,13.239313125610352,1259736000,0.0,0.0
13.042550879816519,13.337073709464574,12.906886125414626,12.961750030517578,764940000,0.0,0.0
13.03033126210812,13.181208667826075,12.731818568736783,13.022850036621094,800756000,0.0,0.0
13.071977104850736,13.618877085069562,12.555003926267243,13.244051933288574,2217832000,0.0,0.0
13.38570091470893,13.926616044697203,12.816855818714643,12.827828407287598,1580748000,0.0,0.0
12.984195600774628,13.964775600337514,12.812369992280384,13.678730964660645,1069360000,0.0,0.0
