,Open,High,Low,Close,Volume,Dividends,Stock Splits,pct_change,log_change,7ma,14ma,21ma,7macd,14macd,7rsi,14rsi,21rsi,7atr,14atr,21atr,7upper,7lower,14upper,14lower,21upper,21lower,FT_3components,FT_6components,FT_9components,FT_27components,FT_81components
1159,0.8697664421250643,0.8543741838292306,0.8653285299829874,0.857966659704448,0.07637630555999299,0.0,0.0,0.41644895075736954,0.46857441307514913,0.8798645043413515,0.881081978877132,0.8776395725600976,0.44493409952037133,0.3560817949251963,0.5746821139399191,0.8559084168568006,0.42623943935304776,0.4802449878786369,0.6246630355082949,0.7483451724349204,0.873538529297338,0.8507410239329263,0.8655581272598513,0.8615309308849164,0.888209090627611,0.8901343455344867,0.6651462536828732,0.8611965134393182,0.7956426633791183,0.7963922824600468,0.8521989492157479
1160,0.8550827217799444,0.8384665621135415,0.8469890860611758,0.8435221412627428,0.08083216980042558,0.0,0.0,0.39308638927211553,0.4446029380920437,0.8755040287857443,0.8799116562537337,0.8780945557028366,0.4793046989817836,0.3739438555452532,0.5286640166410566,0.8751666453716982,0.41671188378268675,0.49948944438826,0.5996281939298695,0.7609521136390385,0.8727168508225303,0.8526978524443947,0.8656054163485797,0.861765155590068,0.8870191545317184,0.8890841266488707,0.6644550270499777,0.8630337557217662,0.7999133206359806,0.7892533751391424,0.8447886185922145
1161,0.8059752993971512,0.789796230355329,0.7915475592882402,0.7853969522702986,0.2020724370983391,0.0,0.0,0.2762182104756147,0.3209065626791252,0.8573427655108913,0.8708645595148202,0.8729663355040291,0.568818032957592,0.40653605728790204,0.5079550206469627,0.8545165418327607,0.4201961445742006,0.5203750443114208,0.5960386557681605,0.7651775909934718,0.894469893491919,0.8087016200697632,0.8726995137314053,0.845092775355102,0.8877751033987261,0.8779758609254031,0.6637294264912833,0.8647525813259934,0.804169717254103,0.7824861901500662,0.8351595821799155
1162,0.8094384320975863,0.793519285213062,0.7904189402378698,0.806924772570744,0.15428169736802977,0.0,0.0,0.49225977581923774,0.5447317587249073,0.8492369616117487,0.865998856000439,0.8703568483136934,0.6361805438360075,0.44201234758027774,0.5079688219371312,0.8529886266338527,0.41966438382870425,0.5303701909012017,0.6176679370825993,0.7768841550355629,0.8888215190155198,0.7936798027612809,0.8741375489200859,0.840447179728707,0.8856424758384087,0.8730932193073653,0.6629694872466746,0.8663515808013689,0.8084070519008836,0.7761803534899362,0.8237684675320415
1163,0.7990490260889409,0.788103953808985,0.796132446961274,0.7849803186236678,0.08252944101320377,0.0,0.0,0.36996293759567,0.4206355562712586,0.8375357290865325,0.8587492211273399,0.8658923328762738,0.7021683948959835,0.4823081280447278,0.508482842752112,0.8540317080953025,0.4204405004424734,0.5534934501844834,0.6109490184409263,0.7671171715819631,0.8641973637141672,0.7851650209407794,0.8784004376906546,0.8298393390075384,0.8781757667160083,0.8685279584090181,0.6621752489378139,0.8678293907262155,0.8126203991109174,0.7704156400444968,0.8111439884364785
1164,0.7990490203398131,0.8048238211064966,0.8136959646773141,0.8239387702730462,0.11077587071334076,0.0,0.0,0.5419943626774144,0.5933960228023565,0.8387404460490612,0.8578502059630573,0.865548105737252,0.7137390955082275,0.5152258811863291,0.506124023638191,0.8449486132112793,0.4190528090115586,0.480542840904717,0.5943819410737421,0.7184209788773427,0.8574665841147013,0.7844342534308113,0.8783681412593103,0.8290697119284285,0.8739676854730497,0.8679531178989145,0.6613467555675044,0.8691846946294259,0.8168047152952607,0.7652608720249287,0.7978146386882455
1165,0.8158799282236264,0.8090207471797786,0.8294960993614178,0.8173415145087414,0.052576473330027726,0.0,0.0,0.41294671355314466,0.4649963120324818,0.8379538538778902,0.8561593282732868,0.8646061685306664,0.7091311562876174,0.5435805429807056,0.5074987989851107,0.7582559209464393,0.41732251465235787,0.4490652248809926,0.5963147636284056,0.6925143103414183,0.8411823045644017,0.7881609055270754,0.8783862290678135,0.8289651787701279,0.8730922998063319,0.866007659444397,0.660484055518321,0.8704162238878598,0.8209548450121914,0.76077299375853,0.7842486413519433
1166,0.7908759865281092,0.7769347892922844,0.7684116655253758,0.7594246688329135,0.15898243947035567,0.0,0.0,0.2720326646931974,0.31635441732511327,0.8225263779505297,0.8466898765554992,0.8582278848590599,0.7530105236027633,0.5801197285335302,0.5081709887819419,0.8547182334933803,0.41720305353257314,0.4833773601489533,0.5925411067590098,0.6931377070379543,0.829161041229751,0.771946045069895,0.8831319784153012,0.8089105265893846,0.8769952377859541,0.8587358703490295,0.6595872015505093,0.8715227585988777,0.8250655274906685,0.7569963380493256,0.7708164145161889
1167,0.7484178371068912,0.7544611225447786,0.718048748232784,0.7457440582232673,0.2504676607006647,0.0,0.0,0.39063777198163846,0.44207640142223553,0.8074509790471346,0.836592377781345,0.8511250920303731,0.812117448985688,0.6223728902490776,0.5081663570531024,0.8547030119901681,0.4203155190282916,0.5709481128745907,0.6584413253477834,0.7149574653870675,0.8172303926815107,0.7558596224214801,0.8889266217917521,0.7882162406391123,0.8826003497204868,0.8421914887278902,0.6586562507991515,0.8725031284273819,0.8291314033972059,0.7539620963950728,0.7577815188134948
1168,0.7702356503696282,0.7515503613721044,0.755291891507449,0.7511607195222807,0.13520847121111845,0.0,0.0,0.44712731823255913,0.49968847038186204,0.7975321070355422,0.8285897869419091,0.8451844494359906,0.8533273827811387,0.6643459524585061,0.5069046335393801,0.8547819890928838,0.42026986755506124,0.5633397214748265,0.6666327706504225,0.7087232248882646,0.8190671858078059,0.7438317269622341,0.8880355696075884,0.7731555140219255,0.8850606035790942,0.8295578032025874,0.6576912647706004,0.8733562134267573,0.8331470218364165,0.7516880021983889,0.7453206151105831
1169,0.7529199509498677,0.752091935466136,0.7533169113719075,0.7409523738875008,0.1039179074802891,0.0,0.0,0.40054158406379203,0.4522788231102686,0.7874777095479673,0.8202434295980091,0.8388105689691895,0.8841537508937005,0.7057017876488647,0.5081141783217579,0.8549173212470872,0.42020199091847543,0.5505098205310479,0.6648838536852131,0.7190442692418764,0.8134754523808807,0.7303641286028124,0.8804658724308452,0.7604795103515128,0.8886160121872847,0.8163768431291302,0.656692309338178,0.8740809448331094,0.8371068475750351,0.750178232789739,0.7335672935043325
